idx,URL,domain,raw_text_after,raw_text_before
343,https://www.rimufurniture.co.nz/products/riviera-1900-hutch-2/,www.rimufurniture.co.nz,riviera 1900 hutch 2/,
344,https://www.zavedo.nz/collections/wall-hooks/products/soho-hook-50,www.zavedo.nz,soho hook 50,collections/wall hooks/
345,https://polini.co.nz/products/changing-table-polini-simple-1080-white,polini.co.nz,changing table polini simple 1080 white,
346,https://basefurniture.co.nz/products/pegboard,basefurniture.co.nz,pegboard,
347,https://www.hammockshop.co.nz/products/childrens-hammock-chair,www.hammockshop.co.nz,childrens hammock chair,
348,https://www.attichomestore.co.nz/products/maori-hand-carved-wooden-taiha,www.attichomestore.co.nz,maori hand carved wooden taiha,
349,https://urban-beach.co.nz/products/sofa-mica?view=quick,urban-beach.co.nz,sofa mica,
350,https://countrylife.co.nz/commerce/products/2890977554284032/?rt=9&referral_code=page_shop_tab&ref=page_shop_tab,countrylife.co.nz,2890977554284032/,commerce/
351,https://www.jardin.co.nz/clearance/products/costa-chair-~-verbena/,www.jardin.co.nz,costa chair,clearance/
352,https://www.corcovado.co.nz/products/the-corcovado-kea-sofa,www.corcovado.co.nz,the corcovado kea sofa,
353,https://www.lujo.co.nz/products/bean-bag-hook,www.lujo.co.nz,bean bag hook,
354,https://www.lujoliving.com/products/bean-bag-hook,www.lujoliving.com,bean bag hook,
355,https://www.shopden-la.com/products/single-metal-grated-pendant-lamp-by-the-feldman-company,www.shopden-la.com,single metal grated pendant lamp by the feldman company,
356,https://wrightsfurnitures.com/products/,wrightsfurnitures.com,,
357,https://bohovalley.com.au/products/fern-daybed,bohovalley.com.au,fern daybed,
358,https://www.lounj.com.au/products/kiki-carver-chair,www.lounj.com.au,kiki carver chair,
359,https://sofasandmore.co.nz/products/entertainment-unit-tv-unit,sofasandmore.co.nz,entertainment unit tv unit,
360,https://australianchildrensfurniture.com.au/products/modular-sectional-unit,australianchildrensfurniture.com.au,modular sectional unit,
361,https://www.bandhinidesign.com/products/norway,www.bandhinidesign.com,norway,
362,https://www.case22.com.au/products/moooi-chess-table,www.case22.com.au,moooi chess table,
363,https://www.kwikshopnship.com.au/products/rede-de-dormir-hammock,www.kwikshopnship.com.au,rede de dormir hammock,
364,https://modernhomefurniture.com.au/products/albert-sofa,modernhomefurniture.com.au,albert sofa,
365,https://nestz.com.au/products/classic-chess-board,nestz.com.au,classic chess board,
366,https://kubekfurniture.com/products/pearl-day-bed&title=Pearl%20Day%20Bed%20-%20Reserve%20one%20from%20June/July%20stock%20with%20just%20a%20deposit%20-%20CONTACT%20US,kubekfurniture.com,pearl day bed Pearl 20Day 20Bed 20 20Reserve 20one 20from 20June/July 20stock 20with 20just 20a 20deposit 20 20CONTACT 20US,
367,https://www.koernerfurniture.com/products/La-Z-Boy/lazboy/010563.html,www.koernerfurniture.com,La Z Boy/lazboy/010563.html,
368,https://razoutlets.com/products/table-lamp,razoutlets.com,table lamp,
369,https://all3loops.com/products/personalized-coozies,all3loops.com,personalized coozies,
370,https://augustusbrandt.co.uk/products/seating-2/204315/,augustusbrandt.co.uk,seating 2/204315/,
371,https://www.konfoliving.com/products/miami-bean-bag-chair,www.konfoliving.com,miami bean bag chair,
372,https://www.zipchair.com/products/stealth-recliner-with-boston-bruins-logo,www.zipchair.com,stealth recliner with boston bruins logo,
373,https://gousesfurniture.com/products/,gousesfurniture.com,,
374,https://maximahouse.com/products/denver-tv-set,maximahouse.com,denver tv set,
375,https://www.conceptuscollection.com/products/kyu-dining-chair,www.conceptuscollection.com,kyu dining chair,
376,https://woodaction.com/products/folding-wardrobe,woodaction.com,folding wardrobe,
377,https://homesteadfurniturebc.com/products/zane-bedroom-collection-please-contact-us-for-black-friday-pricing&via=hsfbc&text=Zane%20Bedroom%20Collection,homesteadfurniturebc.com,zane bedroom collection please contact us for black friday pricing via hsfbc text Zane 20Bedroom 20Collection,
378,https://popstrukt.com/products/steel-shelf-standard,popstrukt.com,steel shelf standard,
379,https://dkmodernfurniture.com/products/novah-desks?variant=20650194534470,dkmodernfurniture.com,novah desks,
380,https://woodtribe.co.nz/products/wood-framed-signs,woodtribe.co.nz,wood framed signs,
381,https://www.project82.com.au/products/palermo-rug-by-armadilloampco,www.project82.com.au,palermo rug by armadilloampco,
382,http://position-collective.com/skill/products/,position-collective.com,,skill/
383,https://www.jaimesfurniture.com/products/junior-beds-1,www.jaimesfurniture.com,junior beds 1,
384,https://driftingwood.in/products/driftingwood-room-garden-love-folding-table-black,driftingwood.in,driftingwood room garden love folding table black,
385,https://studioydesign.ca/products/ontario-classic-storage-bed,studioydesign.ca,ontario classic storage bed,
386,https://pure-patio.com/products/braxton-bar-arm-chair,pure-patio.com,braxton bar arm chair,
387,https://jubileefurniturelv.com/products/anette-modern-leather-bed,jubileefurniturelv.com,anette modern leather bed,
388,https://www.madebyhame.com/products/ladder,www.madebyhame.com,ladder,
389,https://www.skyhomedecor.com/collections/kids/products/the-rug-market-doodle-71287-area-rug,www.skyhomedecor.com,the rug market doodle 71287 area rug,collections/kids/
390,https://interiorsinvogue.com/products/side-sofa-table-silver-finish-har189,interiorsinvogue.com,side sofa table silver finish har189,
391,https://elegantoak.co.uk/products/abbert-5ft-bed,elegantoak.co.uk,abbert 5ft bed,
392,https://emvy.gr/products/,emvy.gr,,
393,https://em-say.com/products/gift-card,em-say.com,gift card,
394,https://rileysrealwood.com/products/detail/magnistretch-12,rileysrealwood.com,detail/magnistretch 12,
395,https://www.allaboutproduct.net/products/live-edge-86-metal-base-dining-table-with-matching-2-chairs-1-bench,www.allaboutproduct.net,live edge 86 metal base dining table with matching 2 chairs 1 bench,
396,https://rigersfitness.com/products/professional-wooden-rocker-balance-board,rigersfitness.com,professional wooden rocker balance board,
397,https://houseofdurante.co.uk/products/libra-bronze-boar-sculpture,houseofdurante.co.uk,libra bronze boar sculpture,
398,https://shop-ames-interiors.com/products/gift-card,shop-ames-interiors.com,gift card,
399,https://www.royalgarden.com/products/russel-4pc-seating-set,www.royalgarden.com,russel 4pc seating set,
400,https://ezzo.co.uk/collections/home-page-products/products/garret-3-seat-sofa,ezzo.co.uk,garret 3 seat sofa,collections/home page
401,https://homedesires.com/products/gift-card,homedesires.com,gift card,
402,https://sakhome.co.uk/collections/best-sellers-1/products/bibi-candle-holder-rouge,sakhome.co.uk,bibi candle holder rouge,collections/best sellers 1/
403,https://www.astellahrela.com/products/narla-tray,www.astellahrela.com,narla tray,
404,https://huxlo.co.uk/products/desk,huxlo.co.uk,desk,
405,https://centralcoastfurniture.com/collections/desks/products/lewis-desk,centralcoastfurniture.com,lewis desk,collections/desks/
406,https://mandai-design.com/products/led-einbaustrahler-boston-downlight,mandai-design.com,led einbaustrahler boston downlight,
407,https://www.furnituresales.com.au/products/200573469,www.furnituresales.com.au,200573469,
408,https://www.jarrahmarri.com.au/products/corner-tv-unit,www.jarrahmarri.com.au,corner tv unit,
409,https://www.henryandoliverco.com/products/gift-vouchers,www.henryandoliverco.com,gift vouchers,
410,https://outonthepatio.com.au/products/aria,outonthepatio.com.au,aria,
411,https://avehome.com/products/aria-desk,avehome.com,aria desk,
412,https://elephanthead.co.uk/products/colourful-markers-cushion-cover,elephanthead.co.uk,colourful markers cushion cover,
413,https://www.mantrafurnishings.com/products/5285-01-chair,www.mantrafurnishings.com,5285 01 chair,
414,https://www.coolstuffandaccessories.com/products/white-wood-dining-table,www.coolstuffandaccessories.com,white wood dining table,
415,https://thecooldepot.com/products/3d-cement-wall-planter,thecooldepot.com,3d cement wall planter,
416,https://ifortifi.ca/products/pl103,ifortifi.ca,pl103,
417,https://denvermodern.com/products/chula-outdoor-rug,denvermodern.com,chula outdoor rug,
418,https://famgizmo.co.uk/products/1800w-log-burning-flame-effect-stove-electric-fire-heater-fireplace-standing,famgizmo.co.uk,1800w log burning flame effect stove electric fire heater fireplace standing,
419,https://www.interiorliving.ca/products/elaine-chair-1,www.interiorliving.ca,elaine chair 1,
420,https://www.bbdgstore.com/products/bed-pillows,www.bbdgstore.com,bed pillows,
421,https://french-classic-furniture.com/products/french-round-back-dining-chair-white-fcf688ch-000-rd-qa-wh_1,french-classic-furniture.com,french round back dining chair white fcf688ch 000 rd qa wh,
422,https://habitekshop.com/products/model-5-oak,habitekshop.com,model 5 oak,
423,https://homeandpatioliving.com/products/mib,homeandpatioliving.com,mib,
424,https://www.savetheplanetfurniture.com/products/lantern-silver-cube,www.savetheplanetfurniture.com,lantern silver cube,
425,https://www.greensladesfurniture.co.nz/collections/rugs/products/nebraska-floor-rug-ash,www.greensladesfurniture.co.nz,nebraska floor rug ash,collections/rugs/
426,https://www.loomlan.com/collections/modern-furniture-sofa-loveseat-tufted-leather-blue-velvet/products/dean-92-california-casual-sofa,www.loomlan.com,dean 92 california casual sofa,collections/modern furniture sofa loveseat tufted leather blue velvet/
427,https://plankandpipe.co.uk/products/copper-pipe-clothes-hanger-hooks,plankandpipe.co.uk,copper pipe clothes hanger hooks,
428,https://www.pizzazzhub.com.au/products/4-tier-tv-media-stand,www.pizzazzhub.com.au,4 tier tv media stand,
429,https://www.polyteakoutdoor.com/products/polyteak-curved-outdoor-rocking-chair,www.polyteakoutdoor.com,polyteak curved outdoor rocking chair,
430,https://www.souk.co.nz/products/sumatra-chair%20via%20@https://twitter.com/Souk_Collective,www.souk.co.nz,sumatra chair 20via 20,
431,https://modholic.com/products/tulip-bar-table,modholic.com,tulip bar table,
432,https://walkeredisonshop.com/products/jackson-slat-entry-table,walkeredisonshop.com,jackson slat entry table,
433,https://stylefurniture.com.sg/products/lucas-armchair,stylefurniture.com.sg,lucas armchair,
434,https://www.walteralice.com/products/wool-alpaca-poly-blend-check-fireside-chair?variant=8105538551900,www.walteralice.com,wool alpaca poly blend check fireside chair,
435,https://veroabode.com/products/adjustable-vintage-retro-rustic-bar-stool,veroabode.com,adjustable vintage retro rustic bar stool,
436,https://www.kotihome.com.au/collections/tv/products/new-devanti-40-inch-smart-led-tv-2k-full-hd-lcd-slim-screen-black,www.kotihome.com.au,new devanti 40 inch smart led tv 2k full hd lcd slim screen black,collections/tv/
437,https://www.novomodern.com/products/avenue-chair,www.novomodern.com,avenue chair,
438,https://yoyo.co.nz/products/yoyo-gift-voucher,yoyo.co.nz,yoyo gift voucher,
439,https://newstartfurniture.com.au/products/4-four-poster-king-bed-frame,newstartfurniture.com.au,4 four poster king bed frame,
440,https://workspaceluxe.com.au/products/6ixty-zine-desk,workspaceluxe.com.au,6ixty zine desk,
441,https://www.newleafupcycled.com.au/products/rustic-shabby-chic-bookcase,www.newleafupcycled.com.au,rustic shabby chic bookcase,
442,https://www.thedesignedit.com.au/products/daria-cushion,www.thedesignedit.com.au,daria cushion,
443,https://www.therusticfurniturestore.com/products/global-floor-lamp,www.therusticfurniturestore.com,global floor lamp,
444,https://dormahome.com/products/seaford-shelf-black,dormahome.com,seaford shelf black,
445,https://www.paetry.com/products/catalina-chair,www.paetry.com,catalina chair,
446,https://panana.co.uk/products/3-seater-sofa-bed,panana.co.uk,3 seater sofa bed,
447,https://mahliainteriors.com.au/collections/mothers-day-15-off-sale/products/bone-inlay-floral-box-black,mahliainteriors.com.au,bone inlay floral box black,collections/mothers day 15 off sale/
448,https://reclaimedcharm.co/products/2-day-designs-dartboard-cabinet,reclaimedcharm.co,2 day designs dartboard cabinet,
449,https://luxstreet.com.au/collections/outdoor/products/whitehaven-dining-chair-white-frame-white-wicker-seat,luxstreet.com.au,whitehaven dining chair white frame white wicker seat,collections/outdoor/
450,https://choufani.com/products/primavera-bed,choufani.com,primavera bed,
451,https://copperbarnhome.com/products/gift-card,copperbarnhome.com,gift card,
452,https://wazofurniture.com/collections/sofa/products/grant-blue-fabric-sofa,wazofurniture.com,grant blue fabric sofa,collections/sofa/
453,https://www.ofo.com.au/products/hanging-pod-chair,www.ofo.com.au,hanging pod chair,
454,https://www.unitedoutdoorfurniture.com.au/products/scarlett-indoor-timber-buffet-sideboard%20via%20@https://twitter.com/UnitedHouse1,www.unitedoutdoorfurniture.com.au,scarlett indoor timber buffet sideboard 20via 20,
455,https://www.furniturecontracts.com.au/products/,www.furniturecontracts.com.au,,
456,https://www.innerspace.net.au/products/STOOLS-5414,www.innerspace.net.au,STOOLS 5414,
457,https://www.generalstorefurniture.com.au/products/design-customise-your-own-timber-dining-table,www.generalstorefurniture.com.au,design customise your own timber dining table,
458,https://www.simpli-home.com/products/braxton-desk,www.simpli-home.com,braxton desk,
459,https://americanwholesalefurniturewi.com/products/,americanwholesalefurniturewi.com,,
460,https://www.mykahome.com.au/products/zee-back-cushion,www.mykahome.com.au,zee back cushion,
461,https://mrnanyang.com/products/cushioned-soft-leather-chair,mrnanyang.com,cushioned soft leather chair,
462,https://www.naturalgeo.com/products/natural-geo-jasmine-modern-wavy-abstract-gray-black-area-rug,www.naturalgeo.com,natural geo jasmine modern wavy abstract gray black area rug,
463,https://home-evolution.com/products/one-storys-not-enough/,home-evolution.com,one storys not enough/,
464,https://hamptonsstyle.com.au/products/hamptons-style-gift-card,hamptonsstyle.com.au,hamptons style gift card,
465,https://www.henkalab.com/products/kaona-table,www.henkalab.com,kaona table,
466,https://www.bilberry-furniture.co.uk/products/test,www.bilberry-furniture.co.uk,test,
467,https://bostonwoods.co.za/products/kr3-pedestal,bostonwoods.co.za,kr3 pedestal,
468,https://www.blockandchisel.co.za/products/special-features/promotion-53,www.blockandchisel.co.za,special features/promotion 53,
469,https://humelabamerica.com/products/clea,humelabamerica.com,clea,
470,https://sghomefurnishing.com/collections/study-room/products/alvise-working-desk,sghomefurnishing.com,alvise working desk,collections/study room/
471,https://bydesigntexas.com/products/bdimargo%E2%84%A2-5229-media-cabinet-6-colors?_pos=1&_sid=81298bf3f&_ss=r,bydesigntexas.com,bdimargo E2 84 A2 5229 media cabinet 6 colors,
472,https://furnitureshop.net/products/curvy-chair,furnitureshop.net,curvy chair,
473,https://www.mooradians.com/products/?filter_brand=fairfield-chair-company,www.mooradians.com,,
474,https://rawmaterials.eu/products/acaciawood-curved-wall-shelf-80-cm,rawmaterials.eu,acaciawood curved wall shelf 80 cm,
475,https://grandads-shed.com/products/daintree-mugs,grandads-shed.com,daintree mugs,
476,https://popularstores.co.za/products/te-6011,popularstores.co.za,te 6011,
477,https://lavida-furniture.com/products/lua,lavida-furniture.com,lua,
478,https://mydesignrepublic.com/collections/all/products/antika-rug,mydesignrepublic.com,antika rug,collections/all/
479,https://www.alwaysabargain.co.uk/products/talladale-3-over-4-chest-of-drawers,www.alwaysabargain.co.uk,talladale 3 over 4 chest of drawers,
480,https://mintffe.com.au/products/,mintffe.com.au,,
481,https://mikisew.ca/products/futon-mattress,mikisew.ca,futon mattress,
482,https://modernityvintage.com/products/wilhelm-renz-metamorphic-coffee-table,modernityvintage.com,wilhelm renz metamorphic coffee table,
483,https://mybellas.com/products/paolo-bench,mybellas.com,paolo bench,
484,https://www.smallspaceplus.com/products/scube,www.smallspaceplus.com,scube,
485,https://limitedabode.co.uk/products/pink-art,limitedabode.co.uk,pink art,
486,https://shabbystore.co.uk/products/the-ritz-bed%20via%20@https://twitter.com/ShabbyStore,shabbystore.co.uk,the ritz bed 20via 20,
487,https://welcometohome.com.au/products/peyton,welcometohome.com.au,peyton,
488,https://www.totemroad.com/products/gift-card,www.totemroad.com,gift card,
489,https://allstatefurniturenj.com/products/bayonne-bedroom-collection,allstatefurniturenj.com,bayonne bedroom collection,
490,https://whataroom.com/collections/new-arrival-rugs/products/arsene-r3475-aqu000,whataroom.com,arsene r3475 aqu000,collections/new arrival rugs/
491,http://www.odinlifestyle.com/products/collections/tyr/,www.odinlifestyle.com,collections/tyr/,
492,https://perfectforthehome.co.uk/collections/occasional/products/maison-velvet-chair,perfectforthehome.co.uk,maison velvet chair,collections/occasional/
493,https://penelopesgarden.us/products/cbd-starter-kit-save-5,penelopesgarden.us,cbd starter kit save 5,
494,https://www.wrights-furniture.com/products/La-Z-Boy/lazboy/440521.html,www.wrights-furniture.com,La Z Boy/lazboy/440521.html,
495,https://jeffjonesfurniture.net/products/Ashley-Furniture/ashley/b69746.html,jeffjonesfurniture.net,Ashley Furniture/ashley/b69746.html,
496,https://www.klinnerfurniture.com/products/simmons/beautysleepdauphinislandtighttopplushking.html,www.klinnerfurniture.com,simmons/beautysleepdauphinislandtighttopplushking.html,
497,https://www.lastersfurniture.com/products/surya/a10858.html,www.lastersfurniture.com,surya/a10858.html,
498,https://www.grainwoodfurniture.com/products/shaker-twin-panel-platform-bed,www.grainwoodfurniture.com,shaker twin panel platform bed,
499,https://davishomefurniture.com/products/office/desk/,davishomefurniture.com,office/desk/,
500,https://idsfurniture.com/categories/563349/simon/products/sim-s-ch/simon-side-chair,idsfurniture.com,sim s ch/simon side chair,categories/563349/simon/
501,https://www.byronbayhangingchairs.com.au/products/weekender,www.byronbayhangingchairs.com.au,weekender,
502,https://www.homebarsusa.com/products/howard-miller-niagara-bar-693-001,www.homebarsusa.com,howard miller niagara bar 693 001,
503,https://www.wellhunghammocks.com/products/mexican-hammock,www.wellhunghammocks.com,mexican hammock,
504,https://nofred.com/products/wall-bug,nofred.com,wall bug,
505,https://brisbanefurniture.com.au/products/linear-desk,brisbanefurniture.com.au,linear desk,
506,https://midcenturymasters.com/products/sculptural-ebonized-credenza-with-silver-leafed-front,midcenturymasters.com,sculptural ebonized credenza with silver leafed front,
507,https://primrosehomeware.co.uk/products/pulley-clothes-airer-5-lath,primrosehomeware.co.uk,pulley clothes airer 5 lath,
508,https://www.ledecostyle.com/collections/featured-products/products/1970s-sputnik-suspension-lamp-made-in-murano-in-star-form,www.ledecostyle.com,1970s sputnik suspension lamp made in murano in star form,collections/featured
509,https://www.classic2modern.com/products/100-sofa,www.classic2modern.com,100 sofa,
510,https://www.mrandmrswhite.net/products/gift-card-2,www.mrandmrswhite.net,gift card 2,
511,https://www.theimporter.co.nz/products/bookshelf-rosewood,www.theimporter.co.nz,bookshelf rosewood,
512,https://galaxiemodern.com/products/jens-risom-sofa,galaxiemodern.com,jens risom sofa,
513,https://www.theteakplace.com.au/products/garden-bench-cushions,www.theteakplace.com.au,garden bench cushions,
514,https://opulencehome.com/products/lucas-leather-chair,opulencehome.com,lucas leather chair,
515,https://www.mymoderndecor.com/sales@mymoderndecor.com/products/slim-bookcase-800923,www.mymoderndecor.com,slim bookcase 800923,mymoderndecor.com/
516,https://circa60.com/products/mid-century-modern-walnut-hanging-floating-cabinet&text=Mid%20Century%20Modern%20Walnut%20HANGING%20%20/%20FLOATING%20CABINET,circa60.com,mid century modern walnut hanging floating cabinet text Mid 20Century 20Modern 20Walnut 20HANGING 20 20/ 20FLOATING 20CABINET,
517,https://www.stil.ie/products/butterfly-stool,www.stil.ie,butterfly stool,
518,https://www.elanfurniturecorp.com/products/elan-furniture-port-indoor-60-bench%20via%20@//twitter.com/elanfurniture,www.elanfurniturecorp.com,elan furniture port indoor 60 bench 20via 20,
519,https://thecountryfurniture.com/products/sequoia,thecountryfurniture.com,sequoia,
520,https://lamporia.com/products/tbl4229a,lamporia.com,tbl4229a,
521,https://reecefurniture.com/products/jonkoping-sofa,reecefurniture.com,jonkoping sofa,
522,https://ulfertskids.com/products/rectangle-6,ulfertskids.com,rectangle 6,
523,https://www.turquoise.co.uk/collections/walnut/products/walnut-glass-dining-table-h1096,www.turquoise.co.uk,walnut glass dining table h1096,collections/walnut/
524,https://www.thecurious.mx/collections/products/products/arcos-chair,www.thecurious.mx,products/arcos chair,collections/
525,https://www.prestige-affairs.com/products/wishbone-y-chair,www.prestige-affairs.com,wishbone y chair,
526,https://www.patiocottage.com/collections/patio-chairs/products/back-pack-chair,www.patiocottage.com,back pack chair,collections/patio chairs/
527,https://vanspecial.com/products/self-planner,vanspecial.com,self planner,
528,https://www.smithmade.com.au/products/spargo-armchair,www.smithmade.com.au,spargo armchair,
529,https://www.wbjamieson.com/products/string-system,www.wbjamieson.com,string system,
530,https://theoutdoorpatiostore.com/products/gazebo-8x8,theoutdoorpatiostore.com,gazebo 8x8,
